Signal Activity Average
tBodyAcc.mean...X WALKING Mean   :0.2763  
tBodyGyroJerk.mean...Y WALKING_UPSTAIRS Mean   :-0.03862  
tBodyGyroJerk.mean...Z WALKING_UPSTAIRS Mean   :-0.05258  
tBodyGyroJerk.std...X WALKING_UPSTAIRS Mean   :-0.5531  
tBodyGyroJerk.std...Y WALKING_UPSTAIRS Mean   :-0.6673  
tBodyGyroJerk.std...Z WALKING_UPSTAIRS Mean   :-0.5610  
tBodyAccMag.mean.. WALKING_UPSTAIRS Mean   :-0.100204  
tBodyAccMag.std.. WALKING_UPSTAIRS Mean   :-0.2499  
tGravityAccMag.mean.. WALKING_UPSTAIRS Mean   :-0.100204  
tGravityAccMag.std.. WALKING_UPSTAIRS Mean   :-0.2499  
tBodyAccJerkMag.mean.. WALKING_UPSTAIRS Mean   :-0.3909  
tBodyAccJerkMag.std.. WALKING_UPSTAIRS Mean   :-0.3854  
tBodyGyroMag.mean.. WALKING_UPSTAIRS Mean   :-0.17828  
tBodyGyroMag.std.. WALKING_UPSTAIRS Mean   :-0.3371  
tBodyGyroJerkMag.mean.. WALKING_UPSTAIRS Mean   :-0.608047  
tBodyGyroJerkMag.std.. WALKING_UPSTAIRS Mean   :-0.6668  
fBodyAcc.mean...X WALKING_UPSTAIRS Mean   :-0.2934  
fBodyAcc.mean...Y WALKING_UPSTAIRS Mean   :-0.134951  
fBodyAcc.mean...Z WALKING_UPSTAIRS Mean   :-0.3681  
fBodyAcc.std...X WALKING_UPSTAIRS Mean   :-0.2189  
fBodyAcc.std...Y WALKING_UPSTAIRS Mean   :-0.02181  
fBodyAcc.std...Z WALKING_UPSTAIRS Mean   :-0.14660  
fBodyAcc.meanFreq...X WALKING_UPSTAIRS Mean   :-0.4367  
fBodyAcc.meanFreq...Y WALKING_UPSTAIRS Mean   :-0.16985  
fBodyAcc.meanFreq...Z WALKING_UPSTAIRS Mean   :-0.2652  
fBodyAccJerk.mean...X WALKING_UPSTAIRS Mean   :-0.3899  
fBodyAccJerk.mean...Y WALKING_UPSTAIRS Mean   :-0.3647  
fBodyAccJerk.mean...Z WALKING_UPSTAIRS Mean   :-0.5917  
fBodyAccJerk.std...X WALKING_UPSTAIRS Mean   :-0.3890  
fBodyAccJerk.std...Y WALKING_UPSTAIRS Mean   :-0.3576  
fBodyAccJerk.std...Z WALKING_UPSTAIRS Mean   :-0.66159  
fBodyAccJerk.meanFreq...X WALKING_UPSTAIRS Mean   :-0.3391  
fBodyAccJerk.meanFreq...Y WALKING_UPSTAIRS Mean   :-0.4525  
fBodyAccJerk.meanFreq...Z WALKING_UPSTAIRS Mean   :-0.4412  
fBodyGyro.mean...X WALKING_UPSTAIRS Mean   :-0.3942  
fBodyGyro.mean...Y WALKING_UPSTAIRS Mean   :-0.4593  
fBodyGyro.mean...Z WALKING_UPSTAIRS Mean   :-0.2969  
fBodyGyro.std...X WALKING_UPSTAIRS Mean   :-0.4953  
fBodyGyro.std...Y WALKING_UPSTAIRS Mean   :-0.2932  
fBodyGyro.std...Z WALKING_UPSTAIRS Mean   :-0.2920  
fBodyGyro.meanFreq...X WALKING_UPSTAIRS Mean   :-0.21284  
fBodyGyro.meanFreq...Y WALKING_UPSTAIRS Mean   :-0.3195  
fBodyGyro.meanFreq...Z WALKING_UPSTAIRS Mean   :-0.2603  
fBodyAccMag.mean.. WALKING_UPSTAIRS Mean   :-0.2620  
fBodyAccMag.std.. WALKING_UPSTAIRS Mean   :-0.36175  
fBodyAccMag.meanFreq.. WALKING_UPSTAIRS Mean   :-0.05322  
fBodyBodyAccJerkMag.mean.. WALKING_UPSTAIRS Mean   :-0.3540  
fBodyBodyAccJerkMag.std.. WALKING_UPSTAIRS Mean   :-0.4342  
fBodyBodyAccJerkMag.meanFreq.. WALKING_UPSTAIRS Mean   : 0.06287  
fBodyBodyGyroMag.mean.. WALKING_UPSTAIRS Mean   :-0.4498  
fBodyBodyGyroMag.std.. WALKING_UPSTAIRS Mean   :-0.3814  
fBodyBodyGyroMag.meanFreq.. WALKING_UPSTAIRS Mean   :-0.16871  
fBodyBodyGyroJerkMag.mean.. WALKING_UPSTAIRS Mean   :-0.6587  
fBodyBodyGyroJerkMag.std.. WALKING_UPSTAIRS Mean   :-0.70308  
fBodyBodyGyroJerkMag.meanFreq.. WALKING_UPSTAIRS Mean   : 0.09411  
tBodyAcc.mean...X WALKING_DOWNSTAIRS Mean   : 0.2881  
tBodyAcc.mean...Y WALKING_DOWNSTAIRS Mean   :-0.0163119  
tBodyAcc.mean...Z WALKING_DOWNSTAIRS Mean   :-0.10576  
tBodyAcc.std...X WALKING_DOWNSTAIRS Mean   : 0.1008  
tBodyAcc.std...Y WALKING_DOWNSTAIRS Mean   : 0.05955  
tBodyAcc.std...Z WALKING_DOWNSTAIRS Mean   :-0.19080  
tGravityAcc.mean...X WALKING_DOWNSTAIRS Mean   :0.9265  
tGravityAcc.mean...Y WALKING_DOWNSTAIRS Mean   :-0.16851  
tGravityAcc.mean...Z WALKING_DOWNSTAIRS Mean   :-0.04797  
tGravityAcc.std...X WALKING_DOWNSTAIRS Mean   :-0.9497  
tGravityAcc.std...Y WALKING_DOWNSTAIRS Mean   :-0.9343  
tGravityAcc.std...Z WALKING_DOWNSTAIRS Mean   :-0.9125  
tBodyAccJerk.mean...X WALKING_DOWNSTAIRS Mean   : 0.08923  
tBodyAccJerk.mean...Y WALKING_DOWNSTAIRS Mean   : 0.0007467  
tBodyAccJerk.mean...Z WALKING_DOWNSTAIRS Mean   :-0.008729  
tBodyAccJerk.std...X WALKING_DOWNSTAIRS Mean   :-0.03388  
tBodyAccJerk.std...Y WALKING_DOWNSTAIRS Mean   :-0.07367  
tBodyAccJerk.std...Z WALKING_DOWNSTAIRS Mean   :-0.3887  
tBodyGyro.mean...X WALKING_DOWNSTAIRS Mean   :-0.08403  
tBodyGyro.mean...Y WALKING_DOWNSTAIRS Mean   :-0.05299  
tBodyGyro.mean...Z WALKING_DOWNSTAIRS Mean   : 0.09468  
tBodyGyro.std...X WALKING_DOWNSTAIRS Mean   :-0.3338  
tBodyGyro.std...Y WALKING_DOWNSTAIRS Mean   :-0.3396  
tBodyGyro.std...Z WALKING_DOWNSTAIRS Mean   :-0.2728  
tBodyGyroJerk.mean...X WALKING_DOWNSTAIRS Mean   :-0.07285  
tBodyGyroJerk.mean...Y WALKING_DOWNSTAIRS Mean   :-0.05126  
tBodyGyroJerk.mean...Z WALKING_DOWNSTAIRS Mean   :-0.05470  
tBodyGyroJerk.std...X WALKING_DOWNSTAIRS Mean   :-0.3827  
tBodyGyroJerk.std...Y WALKING_DOWNSTAIRS Mean   :-0.4659  
tBodyGyroJerk.std...Z WALKING_DOWNSTAIRS Mean   :-0.3265  
tBodyAccMag.mean.. WALKING_DOWNSTAIRS Mean   : 0.10125  
tBodyAccMag.std.. WALKING_DOWNSTAIRS Mean   : 0.116489  
tGravityAccMag.mean.. WALKING_DOWNSTAIRS Mean   : 0.10125  
tGravityAccMag.std.. WALKING_DOWNSTAIRS Mean   : 0.116489  
tBodyAccJerkMag.mean.. WALKING_DOWNSTAIRS Mean   :-0.111802  
tBodyAccJerkMag.std.. WALKING_DOWNSTAIRS Mean   :-0.01122  
tBodyGyroMag.mean.. WALKING_DOWNSTAIRS Mean   :-0.12979  
tBodyGyroMag.std.. WALKING_DOWNSTAIRS Mean   :-0.2514  
tBodyGyroJerkMag.mean.. WALKING_DOWNSTAIRS Mean   :-0.4169  
tBodyGyroJerkMag.std.. WALKING_DOWNSTAIRS Mean   :-0.4409  
fBodyAcc.mean...X WALKING_DOWNSTAIRS Mean   : 0.03526  
fBodyAcc.mean...Y WALKING_DOWNSTAIRS Mean   : 0.05668  
fBodyAcc.mean...Z WALKING_DOWNSTAIRS Mean   :-0.21373  
fBodyAcc.std...X WALKING_DOWNSTAIRS Mean   : 0.12194  
fBodyAcc.std...Y WALKING_DOWNSTAIRS Mean   :-0.008234  
fBodyAcc.std...Z WALKING_DOWNSTAIRS Mean   :-0.2459  
fBodyAcc.meanFreq...X WALKING_DOWNSTAIRS Mean   :-0.4000  
fBodyAcc.meanFreq...Y WALKING_DOWNSTAIRS Mean   : 0.0006031  
fBodyAcc.meanFreq...Z WALKING_DOWNSTAIRS Mean   : 0.09243  
fBodyAccJerk.mean...X WALKING_DOWNSTAIRS Mean   :-0.07230  
fBodyAccJerk.mean...Y WALKING_DOWNSTAIRS Mean   :-0.11638  
fBodyAccJerk.mean...Z WALKING_DOWNSTAIRS Mean   :-0.3332  
fBodyAccJerk.std...X WALKING_DOWNSTAIRS Mean   :-0.08219  
fBodyAccJerk.std...Y WALKING_DOWNSTAIRS Mean   :-0.09142  
fBodyAccJerk.std...Z WALKING_DOWNSTAIRS Mean   :-0.4436  
fBodyAccJerk.meanFreq...X WALKING_DOWNSTAIRS Mean   :-0.3149  
fBodyAccJerk.meanFreq...Y WALKING_DOWNSTAIRS Mean   :-0.3860  
fBodyAccJerk.meanFreq...Z WALKING_DOWNSTAIRS Mean   :-0.2374  
fBodyGyro.mean...X WALKING_DOWNSTAIRS Mean   :-0.21792  
fBodyGyro.mean...Y WALKING_DOWNSTAIRS Mean   :-0.3176  
fBodyGyro.mean...Z WALKING_DOWNSTAIRS Mean   :-0.16563  
fBodyGyro.std...X WALKING_DOWNSTAIRS Mean   :-0.3751  
fBodyGyro.std...Y WALKING_DOWNSTAIRS Mean   :-0.3619  
fBodyGyro.std...Z WALKING_DOWNSTAIRS Mean   :-0.3804  
fBodyGyro.meanFreq...X WALKING_DOWNSTAIRS Mean   :-0.17002  
fBodyGyro.meanFreq...Y WALKING_DOWNSTAIRS Mean   :-0.04409  
fBodyGyro.meanFreq...Z WALKING_DOWNSTAIRS Mean   :-0.01879  
fBodyAccMag.mean.. WALKING_DOWNSTAIRS Mean   : 0.142849  
fBodyAccMag.std.. WALKING_DOWNSTAIRS Mean   :-0.07543  
fBodyAccMag.meanFreq.. WALKING_DOWNSTAIRS Mean   : 0.02504  
fBodyBodyAccJerkMag.mean.. WALKING_DOWNSTAIRS Mean   : 0.004763  
fBodyBodyAccJerkMag.std.. WALKING_DOWNSTAIRS Mean   :-0.04227  
fBodyBodyAccJerkMag.meanFreq.. WALKING_DOWNSTAIRS Mean   : 0.02007  
fBodyBodyGyroMag.mean.. WALKING_DOWNSTAIRS Mean   :-0.2895  
fBodyBodyGyroMag.std.. WALKING_DOWNSTAIRS Mean   :-0.3612  
fBodyBodyGyroMag.meanFreq.. WALKING_DOWNSTAIRS Mean   : 0.06717  
fBodyBodyGyroJerkMag.mean.. WALKING_DOWNSTAIRS Mean   :-0.4380  
fBodyBodyGyroJerkMag.std.. WALKING_DOWNSTAIRS Mean   :-0.4864  
fBodyBodyGyroJerkMag.meanFreq.. WALKING_DOWNSTAIRS Mean   : 0.09576  
tBodyAcc.mean...X SITTING Mean   : 0.2731  
tBodyAcc.mean...Y SITTING Mean   :-0.01269  
tBodyAcc.mean...Z SITTING Mean   :-0.1055  
tBodyAcc.std...X SITTING Mean   :-0.9834  
tBodyAcc.std...Y SITTING Mean   :-0.9349  
tBodyAcc.std...Z SITTING Mean   :-0.9390  
tGravityAcc.mean...X SITTING Mean   :0.8797  
tGravityAcc.mean...Y SITTING Mean   : 0.10871  
tGravityAcc.mean...Z SITTING Mean   : 0.153774  
tGravityAcc.std...X SITTING Mean   :-0.9797  
tGravityAcc.std...Y SITTING Mean   :-0.9577  
tGravityAcc.std...Z SITTING Mean   :-0.9474  
tBodyAccJerk.mean...X SITTING Mean   : 0.07588  
tBodyAccJerk.mean...Y SITTING Mean   : 0.005047  
tBodyAccJerk.mean...Z SITTING Mean   :-0.0024867  
tBodyAccJerk.std...X SITTING Mean   :-0.9850  
tBodyAccJerk.std...Y SITTING Mean   :-0.9739  
tBodyAccJerk.std...Z SITTING Mean   :-0.9823  
tBodyGyro.mean...X SITTING Mean   :-0.03843  
tBodyGyro.mean...Y SITTING Mean   :-0.07212  
tBodyGyro.mean...Z SITTING Mean   : 0.07778  
tBodyGyro.std...X SITTING Mean   :-0.9810  
tBodyGyro.std...Y SITTING Mean   :-0.9667  
tBodyGyro.std...Z SITTING Mean   :-0.9580  
tBodyGyroJerk.mean...X SITTING Mean   :-0.09565  
tBodyGyroJerk.mean...Y SITTING Mean   :-0.04078  
tBodyGyroJerk.mean...Z SITTING Mean   :-0.05076  
tBodyGyroJerk.std...X SITTING Mean   :-0.9857  
tBodyGyroJerk.std...Y SITTING Mean   :-0.9865  
tBodyGyroJerk.std...Z SITTING Mean   :-0.9838  
tBodyAccMag.mean.. SITTING Mean   :-0.9546  
tBodyAccMag.std.. SITTING Mean   :-0.9393  
tGravityAccMag.mean.. SITTING Mean   :-0.9546  
tGravityAccMag.std.. SITTING Mean   :-0.9393  
tBodyAccJerkMag.mean.. SITTING Mean   :-0.9824  
tBodyAccJerkMag.std.. SITTING Mean   :-0.9789  
tBodyGyroMag.mean.. SITTING Mean   :-0.9467  
tBodyGyroMag.std.. SITTING Mean   :-0.95120  
tBodyGyroJerkMag.mean.. SITTING Mean   :-0.9879  
tBodyGyroJerkMag.std.. SITTING Mean   :-0.9846  
fBodyAcc.mean...X SITTING Mean   :-0.9831  
fBodyAcc.mean...Y SITTING Mean   :-0.94792  
fBodyAcc.mean...Z SITTING Mean   :-0.95703  
fBodyAcc.std...X SITTING Mean   :-0.9837  
fBodyAcc.std...Y SITTING Mean   :-0.9325  
fBodyAcc.std...Z SITTING Mean   :-0.9343  
fBodyAcc.meanFreq...X SITTING Mean   :-0.04264  
fBodyAcc.meanFreq...Y SITTING Mean   : 0.06530  
fBodyAcc.meanFreq...Z SITTING Mean   : 0.0803  
fBodyAccJerk.mean...X SITTING Mean   :-0.9852  
fBodyAccJerk.mean...Y SITTING Mean   :-0.9740  
fBodyAccJerk.mean...Z SITTING Mean   :-0.9796  
fBodyAccJerk.std...X SITTING Mean   :-0.9862  
fBodyAccJerk.std...Y SITTING Mean   :-0.9758  
fBodyAccJerk.std...Z SITTING Mean   :-0.9837  
fBodyAccJerk.meanFreq...X SITTING Mean   : 0.18501  
fBodyAccJerk.meanFreq...Y SITTING Mean   :-0.05831  
fBodyAccJerk.meanFreq...Z SITTING Mean   : 0.002996  
fBodyGyro.mean...X SITTING Mean   :-0.9773  
fBodyGyro.mean...Y SITTING Mean   :-0.9725  
fBodyGyro.mean...Z SITTING Mean   :-0.9610  
fBodyGyro.std...X SITTING Mean   :-0.9823  
fBodyGyro.std...Y SITTING Mean   :-0.9640  
fBodyGyro.std...Z SITTING Mean   :-0.9610  
fBodyGyro.meanFreq...X SITTING Mean   : 0.06259  
fBodyGyro.meanFreq...Y SITTING Mean   :-0.21803  
fBodyGyro.meanFreq...Z SITTING Mean   :-0.01270  
fBodyAccMag.mean.. SITTING Mean   :-0.95241  
fBodyAccMag.std.. SITTING Mean   :-0.9420  
fBodyAccMag.meanFreq.. SITTING Mean   : 0.1141  
fBodyBodyAccJerkMag.mean.. SITTING Mean   :-0.9787  
fBodyBodyAccJerkMag.std.. SITTING Mean   :-0.9782  
fBodyBodyAccJerkMag.meanFreq.. SITTING Mean   : 0.2815  
fBodyBodyGyroMag.mean.. SITTING Mean   :-0.9643  
fBodyBodyGyroMag.std.. SITTING Mean   :-0.95164  
fBodyBodyGyroMag.meanFreq.. SITTING Mean   :-0.07644  
fBodyBodyGyroJerkMag.mean.. SITTING Mean   :-0.9853  
fBodyBodyGyroJerkMag.std.. SITTING Mean   :-0.9845  
fBodyBodyGyroJerkMag.meanFreq.. SITTING Mean   : 0.1777386  
tBodyAcc.mean...X STANDING Mean   :0.2792  
tBodyAcc.mean...Y STANDING Mean   :-0.01615  
tBodyAcc.mean...Z STANDING Mean   :-0.1066  
tBodyAcc.std...X STANDING Mean   :-0.9844  
tBodyAcc.std...Y STANDING Mean   :-0.9325  
tBodyAcc.std...Z STANDING Mean   :-0.9399  
tGravityAcc.mean...X STANDING Mean   :0.9415  
tGravityAcc.mean...Y STANDING Mean   :-0.1842  
tGravityAcc.mean...Z STANDING Mean   :-0.01405  
tGravityAcc.std...X STANDING Mean   :-0.9880  
tGravityAcc.std...Y STANDING Mean   :-0.9694  
tGravityAcc.std...Z STANDING Mean   :-0.9531  
tBodyAccJerk.mean...X STANDING Mean   : 0.07503  
tBodyAccJerk.mean...Y STANDING Mean   : 0.008805  
tBodyAccJerk.mean...Z STANDING Mean   :-0.0045821  
tBodyAccJerk.std...X STANDING Mean   :-0.9800  
tBodyAccJerk.std...Y STANDING Mean   :-0.9643  
tBodyAccJerk.std...Z STANDING Mean   :-0.9795  
tBodyGyro.mean...X STANDING Mean   :-0.02669  
tBodyGyro.mean...Y STANDING Mean   :-0.06771  
tBodyGyro.mean...Z STANDING Mean   : 0.08014  
tBodyGyro.std...X STANDING Mean   :-0.9455  
tBodyGyro.std...Y STANDING Mean   :-0.9613  
tBodyGyro.std...Z STANDING Mean   :-0.9571  
tBodyGyroJerk.mean...X STANDING Mean   :-0.09973  
tBodyGyroJerk.mean...Y STANDING Mean   :-0.04232  
tBodyGyroJerk.mean...Z STANDING Mean   :-0.05210  
tBodyGyroJerk.std...X STANDING Mean   :-0.9670  
tBodyGyroJerk.std...Y STANDING Mean   :-0.9803  
tBodyGyroJerk.std...Z STANDING Mean   :-0.9771  
tBodyAccMag.mean.. STANDING Mean   :-0.9542  
tBodyAccMag.std.. STANDING Mean   :-0.94653  
tGravityAccMag.mean.. STANDING Mean   :-0.9542  
tGravityAccMag.std.. STANDING Mean   :-0.94653  
tBodyAccJerkMag.mean.. STANDING Mean   :-0.9771  
tBodyAccJerkMag.std.. STANDING Mean   :-0.9715  
tBodyGyroMag.mean.. STANDING Mean   :-0.9422  
tBodyGyroMag.std.. STANDING Mean   :-0.9295  
tBodyGyroJerkMag.mean.. STANDING Mean   :-0.9787  
tBodyGyroJerkMag.std.. STANDING Mean   :-0.9735  
fBodyAcc.mean...X STANDING Mean   :-0.9816  
fBodyAcc.mean...Y STANDING Mean   :-0.9431  
fBodyAcc.mean...Z STANDING Mean   :-0.9574  
fBodyAcc.std...X STANDING Mean   :-0.9859  
fBodyAcc.std...Y STANDING Mean   :-0.93113  
fBodyAcc.std...Z STANDING Mean   :-0.9354  
fBodyAcc.meanFreq...X STANDING Mean   : 0.01560  
fBodyAcc.meanFreq...Y STANDING Mean   :-0.03327  
fBodyAcc.meanFreq...Z STANDING Mean   : 0.05247  
fBodyAccJerk.mean...X STANDING Mean   :-0.9800  
fBodyAccJerk.mean...Y STANDING Mean   :-0.9645  
fBodyAccJerk.mean...Z STANDING Mean   :-0.9762  
fBodyAccJerk.std...X STANDING Mean   :-0.9818  
fBodyAccJerk.std...Y STANDING Mean   :-0.9668  
fBodyAccJerk.std...Z STANDING Mean   :-0.9815  
fBodyAccJerk.meanFreq...X STANDING Mean   : 0.2029  
fBodyAccJerk.meanFreq...Y STANDING Mean   :-0.13189  
fBodyAccJerk.meanFreq...Z STANDING Mean   : 0.00670  
fBodyGyro.mean...X STANDING Mean   :-0.9437  
fBodyGyro.mean...Y STANDING Mean   :-0.9653  
fBodyGyro.mean...Z STANDING Mean   :-0.9584  
fBodyGyro.std...X STANDING Mean   :-0.9470  
fBodyGyro.std...Y STANDING Mean   :-0.9595  
fBodyGyro.std...Z STANDING Mean   :-0.9607  
fBodyGyro.meanFreq...X STANDING Mean   :-0.2275  
fBodyGyro.meanFreq...Y STANDING Mean   :-0.21601  
fBodyGyro.meanFreq...Z STANDING Mean   :-0.09143  
fBodyAccMag.mean.. STANDING Mean   :-0.9559  
fBodyAccMag.std.. STANDING Mean   :-0.949602  
fBodyAccMag.meanFreq.. STANDING Mean   : 0.04849  
fBodyBodyAccJerkMag.mean.. STANDING Mean   :-0.9711  
fBodyBodyAccJerkMag.std.. STANDING Mean   :-0.9709  
fBodyBodyAccJerkMag.meanFreq.. STANDING Mean   : 0.25127  
fBodyBodyGyroMag.mean.. STANDING Mean   :-0.9479  
fBodyBodyGyroMag.std.. STANDING Mean   :-0.9306  
fBodyBodyGyroMag.meanFreq.. STANDING Mean   :-0.183705  
fBodyBodyGyroJerkMag.mean.. STANDING Mean   :-0.9749  
fBodyBodyGyroJerkMag.std.. STANDING Mean   :-0.9735  
fBodyBodyGyroJerkMag.meanFreq.. STANDING Mean   : 0.08486  
tBodyAcc.mean...X LAYING Mean   : 0.2686  
tBodyAcc.mean...Y LAYING Mean   :-0.01832  
tBodyAcc.mean...Z LAYING Mean   :-0.1074  
tBodyAcc.std...X LAYING Mean   :-0.96093  
tBodyAcc.std...Y LAYING Mean   :-0.9435  
tBodyAcc.std...Z LAYING Mean   :-0.9481  
tGravityAcc.mean...X LAYING Mean   :-0.3750  
tGravityAcc.mean...Y LAYING Mean   : 0.6223  
tGravityAcc.mean...Z LAYING Mean   : 0.5556  
tGravityAcc.std...X LAYING Mean   :-0.9433  
tGravityAcc.std...Y LAYING Mean   :-0.9632  
tGravityAcc.std...Z LAYING Mean   :-0.9519  
tBodyAccJerk.mean...X LAYING Mean   : 0.08185  
tBodyAccJerk.mean...Y LAYING Mean   : 0.011172  
